Craving Type,Cuisine,Mood Associated,Description,Food Name
Comfort,Western,Low Mood,"Creamy, cheesy pasta #44",Mac & Cheese
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #412",Sour Candy
Cold,Various,Happy/Chill,Frozen sweet treat #598,Ice Cream
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #926,Chicken 65
Cold,Various,Happy/Chill,Frozen sweet treat #864,Ice Cream
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #763,Nachos
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #620",Fried Chicken
Comfort,Western,Low Mood,"Creamy, cheesy pasta #414",Mac & Cheese
Warm,Western,Cozy/Winter,Warm milk with chocolate #716,Hot Chocolate
Cold,Various,Tired/Hot Day,Coffee served over ice #467,Cold Coffee
Salty,American,Snack Craving,Fried potato sticks with salt #597,French Fries
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #870",Lemon Pickle
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #672",Lemon Pickle
Comfort,Western,Low Mood,"Creamy, cheesy pasta #750",Mac & Cheese
Warm,Western,Cozy/Winter,Warm milk with chocolate #730,Hot Chocolate
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #290",Tomato Soup
Salty,American,Snack Craving,Fried potato sticks with salt #238,French Fries
Comfort,Western,Low Mood,"Creamy, cheesy pasta #883",Mac & Cheese
Comfort,Western,Low Mood,"Creamy, cheesy pasta #447",Mac & Cheese
Cold,Various,Tired/Hot Day,Coffee served over ice #725,Cold Coffee
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #791",Spicy Ramen
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #691,Chicken 65
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #86,Nachos
Cold,Various,Happy/Chill,Frozen sweet treat #310,Ice Cream
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #871,Gulab Jamun
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #936,Nachos
Sweet,Western,Comfort,Rich chocolate dessert #130,Chocolate Cake
Cold,Various,Happy/Chill,Frozen sweet treat #902,Ice Cream
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #646",Tomato Soup
Comfort,Western,Low Mood,"Creamy, cheesy pasta #737",Mac & Cheese
Warm,Western,Cozy/Winter,Warm milk with chocolate #452,Hot Chocolate
Comfort,Western,Low Mood,"Creamy, cheesy pasta #853",Mac & Cheese
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #550",Tomato Soup
Comfort,Western,Low Mood,"Creamy, cheesy pasta #211",Mac & Cheese
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #959",Spicy Ramen
Warm,Western,Cozy/Winter,Warm milk with chocolate #908,Hot Chocolate
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #400,Chicken 65
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #58,Khichdi
Warm,Western,Cozy/Winter,Warm milk with chocolate #21,Hot Chocolate
Warm,Western,Cozy/Winter,Warm milk with chocolate #956,Hot Chocolate
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #233",Fried Chicken
Sweet,Western,Comfort,Rich chocolate dessert #981,Chocolate Cake
Crunchy,Indian,Rainy Day,Fried vegetable fritters #628,Pakora
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #659,Khichdi
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #486,Chicken 65
Cold,Various,Happy/Chill,Frozen sweet treat #365,Ice Cream
Cold,Various,Tired/Hot Day,Coffee served over ice #881,Cold Coffee
Crunchy,Indian,Rainy Day,Fried vegetable fritters #425,Pakora
Sweet,Western,Comfort,Rich chocolate dessert #961,Chocolate Cake
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #652,Khichdi
Warm,Western,Cozy/Winter,Warm milk with chocolate #584,Hot Chocolate
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #956",Tomato Soup
Cold,Various,Tired/Hot Day,Coffee served over ice #391,Cold Coffee
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #261,Gulab Jamun
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #942,Gulab Jamun
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #491",Spicy Ramen
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #386",Fried Chicken
Crunchy,Indian,Rainy Day,Fried vegetable fritters #826,Pakora
Sweet,Western,Comfort,Rich chocolate dessert #892,Chocolate Cake
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #415,Khichdi
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #699,Nachos
Warm,Western,Cozy/Winter,Warm milk with chocolate #595,Hot Chocolate
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #329,Khichdi
Comfort,Western,Low Mood,"Creamy, cheesy pasta #387",Mac & Cheese
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #198",Spicy Ramen
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #40",Tomato Soup
Comfort,Western,Low Mood,"Creamy, cheesy pasta #661",Mac & Cheese
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #556,Nachos
Salty,American,Snack Craving,Fried potato sticks with salt #315,French Fries
Warm,Western,Cozy/Winter,Warm milk with chocolate #631,Hot Chocolate
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #11,Chicken 65
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #758,Chicken 65
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #78",Fried Chicken
Cold,Various,Tired/Hot Day,Coffee served over ice #807,Cold Coffee
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #666,Khichdi
Salty,American,Snack Craving,Fried potato sticks with salt #766,French Fries
Cold,Various,Happy/Chill,Frozen sweet treat #140,Ice Cream
Salty,American,Snack Craving,Fried potato sticks with salt #145,French Fries
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #601",Spicy Ramen
Salty,American,Snack Craving,Fried potato sticks with salt #957,French Fries
Comfort,Western,Low Mood,"Creamy, cheesy pasta #556",Mac & Cheese
Salty,American,Snack Craving,Fried potato sticks with salt #316,French Fries
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #665,Gulab Jamun
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #754",Sour Candy
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #441,Khichdi
Cold,Various,Tired/Hot Day,Coffee served over ice #161,Cold Coffee
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #819,Gulab Jamun
Warm,Western,Cozy/Winter,Warm milk with chocolate #502,Hot Chocolate
Sweet,Western,Comfort,Rich chocolate dessert #816,Chocolate Cake
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #485",Fried Chicken
Comfort,Western,Low Mood,"Creamy, cheesy pasta #355",Mac & Cheese
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #226",Lemon Pickle
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #414",Fried Chicken
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #856,Khichdi
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #209,Nachos
Warm,Western,Cozy/Winter,Warm milk with chocolate #588,Hot Chocolate
Salty,American,Snack Craving,Fried potato sticks with salt #935,French Fries
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #438",Fried Chicken
Cold,Various,Happy/Chill,Frozen sweet treat #284,Ice Cream
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #849,Gulab Jamun
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #431",Tomato Soup
Cold,Various,Tired/Hot Day,Coffee served over ice #98,Cold Coffee
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #639,Chicken 65
Cold,Various,Tired/Hot Day,Coffee served over ice #989,Cold Coffee
Sweet,Western,Comfort,Rich chocolate dessert #767,Chocolate Cake
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #462",Fried Chicken
Cold,Various,Happy/Chill,Frozen sweet treat #49,Ice Cream
Comfort,Western,Low Mood,"Creamy, cheesy pasta #801",Mac & Cheese
Warm,Western,Cozy/Winter,Warm milk with chocolate #974,Hot Chocolate
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #492,Chicken 65
Cold,Various,Tired/Hot Day,Coffee served over ice #756,Cold Coffee
Cold,Various,Tired/Hot Day,Coffee served over ice #161,Cold Coffee
Comfort,Western,Low Mood,"Creamy, cheesy pasta #831",Mac & Cheese
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #597,Nachos
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #302,Nachos
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #360,Nachos
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #496",Fried Chicken
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #589",Spicy Ramen
Comfort,Western,Low Mood,"Creamy, cheesy pasta #142",Mac & Cheese
Salty,American,Snack Craving,Fried potato sticks with salt #105,French Fries
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #640",Lemon Pickle
Cold,Various,Tired/Hot Day,Coffee served over ice #656,Cold Coffee
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #599,Khichdi
Comfort,Western,Low Mood,"Creamy, cheesy pasta #18",Mac & Cheese
Salty,American,Snack Craving,Fried potato sticks with salt #248,French Fries
Cold,Various,Happy/Chill,Frozen sweet treat #221,Ice Cream
Salty,American,Snack Craving,Fried potato sticks with salt #311,French Fries
Warm,Western,Cozy/Winter,Warm milk with chocolate #464,Hot Chocolate
Cold,Various,Happy/Chill,Frozen sweet treat #35,Ice Cream
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #846,Chicken 65
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #343",Sour Candy
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #130,Nachos
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #111",Spicy Ramen
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #93",Fried Chicken
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #851",Sour Candy
Warm,Western,Cozy/Winter,Warm milk with chocolate #962,Hot Chocolate
Cold,Various,Tired/Hot Day,Coffee served over ice #430,Cold Coffee
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #408,Khichdi
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #384",Spicy Ramen
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #162",Tomato Soup
Cold,Various,Happy/Chill,Frozen sweet treat #104,Ice Cream
Crunchy,Indian,Rainy Day,Fried vegetable fritters #348,Pakora
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #456",Fried Chicken
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #144",Spicy Ramen
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #750",Fried Chicken
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #398,Chicken 65
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #123,Chicken 65
Cold,Various,Happy/Chill,Frozen sweet treat #423,Ice Cream
Salty,American,Snack Craving,Fried potato sticks with salt #126,French Fries
Warm,Western,Cozy/Winter,Warm milk with chocolate #394,Hot Chocolate
Warm,Western,Cozy/Winter,Warm milk with chocolate #119,Hot Chocolate
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #284",Tomato Soup
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #447,Nachos
Sweet,Western,Comfort,Rich chocolate dessert #420,Chocolate Cake
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #717",Spicy Ramen
Comfort,Western,Low Mood,"Creamy, cheesy pasta #176",Mac & Cheese
Comfort,Western,Low Mood,"Creamy, cheesy pasta #621",Mac & Cheese
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #962,Chicken 65
Warm,Western,Cozy/Winter,Warm milk with chocolate #346,Hot Chocolate
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #609",Spicy Ramen
Comfort,Western,Low Mood,"Creamy, cheesy pasta #102",Mac & Cheese
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #243",Spicy Ramen
Crunchy,Indian,Rainy Day,Fried vegetable fritters #658,Pakora
Crunchy,Indian,Rainy Day,Fried vegetable fritters #761,Pakora
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #762",Lemon Pickle
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #142",Lemon Pickle
Salty,American,Snack Craving,Fried potato sticks with salt #549,French Fries
Comfort,Western,Low Mood,"Creamy, cheesy pasta #843",Mac & Cheese
Sweet,Western,Comfort,Rich chocolate dessert #958,Chocolate Cake
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #92,Khichdi
Cold,Various,Tired/Hot Day,Coffee served over ice #577,Cold Coffee
Warm,Western,Cozy/Winter,Warm milk with chocolate #826,Hot Chocolate
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #663,Khichdi
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #728",Fried Chicken
Cold,Various,Happy/Chill,Frozen sweet treat #782,Ice Cream
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #766,Nachos
Warm,Western,Cozy/Winter,Warm milk with chocolate #722,Hot Chocolate
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #574",Spicy Ramen
Cold,Various,Happy/Chill,Frozen sweet treat #304,Ice Cream
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #858",Sour Candy
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #408,Khichdi
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #698",Lemon Pickle
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #801",Spicy Ramen
Crunchy,Indian,Rainy Day,Fried vegetable fritters #696,Pakora
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #775,Khichdi
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #228",Lemon Pickle
Cold,Various,Happy/Chill,Frozen sweet treat #392,Ice Cream
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #561",Sour Candy
Sweet,Western,Comfort,Rich chocolate dessert #35,Chocolate Cake
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #482",Tomato Soup
Cold,Various,Tired/Hot Day,Coffee served over ice #167,Cold Coffee
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #220,Nachos
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #519",Fried Chicken
Comfort,Western,Low Mood,"Creamy, cheesy pasta #873",Mac & Cheese
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #685",Tomato Soup
Comfort,Western,Low Mood,"Creamy, cheesy pasta #834",Mac & Cheese
Salty,American,Snack Craving,Fried potato sticks with salt #550,French Fries
Sweet,Western,Comfort,Rich chocolate dessert #306,Chocolate Cake
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #924,Khichdi
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #84,Chicken 65
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #248",Sour Candy
Salty,American,Snack Craving,Fried potato sticks with salt #363,French Fries
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #134,Chicken 65
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #313",Sour Candy
Cold,Various,Tired/Hot Day,Coffee served over ice #29,Cold Coffee
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #101,Gulab Jamun
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #138",Spicy Ramen
Crunchy,Indian,Rainy Day,Fried vegetable fritters #8,Pakora
Warm,Western,Cozy/Winter,Warm milk with chocolate #347,Hot Chocolate
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #261",Fried Chicken
Warm,Western,Cozy/Winter,Warm milk with chocolate #484,Hot Chocolate
Crunchy,Indian,Rainy Day,Fried vegetable fritters #694,Pakora
Comfort,Western,Low Mood,"Creamy, cheesy pasta #950",Mac & Cheese
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #193",Tomato Soup
Cold,Various,Happy/Chill,Frozen sweet treat #185,Ice Cream
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #78",Sour Candy
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #34",Lemon Pickle
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #374,Nachos
Comfort,Western,Low Mood,"Creamy, cheesy pasta #137",Mac & Cheese
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #142",Lemon Pickle
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #988",Spicy Ramen
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #458",Tomato Soup
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #826,Khichdi
Comfort,Western,Low Mood,"Creamy, cheesy pasta #173",Mac & Cheese
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #498,Gulab Jamun
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #815",Fried Chicken
Cold,Various,Happy/Chill,Frozen sweet treat #700,Ice Cream
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #277",Tomato Soup
Crunchy,Indian,Rainy Day,Fried vegetable fritters #650,Pakora
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #106",Lemon Pickle
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #2,Gulab Jamun
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #818,Gulab Jamun
Warm,Western,Cozy/Winter,Warm milk with chocolate #211,Hot Chocolate
Warm,Western,Cozy/Winter,Warm milk with chocolate #967,Hot Chocolate
Comfort,Western,Low Mood,"Creamy, cheesy pasta #56",Mac & Cheese
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #861",Spicy Ramen
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #423",Fried Chicken
Cold,Various,Tired/Hot Day,Coffee served over ice #494,Cold Coffee
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #421",Spicy Ramen
Cold,Various,Happy/Chill,Frozen sweet treat #35,Ice Cream
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #857",Tomato Soup
Salty,American,Snack Craving,Fried potato sticks with salt #231,French Fries
Cold,Various,Tired/Hot Day,Coffee served over ice #193,Cold Coffee
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #875",Lemon Pickle
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #46,Chicken 65
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #264,Khichdi
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #306",Lemon Pickle
Warm,Western,Cozy/Winter,Warm milk with chocolate #743,Hot Chocolate
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #998,Nachos
Salty,American,Snack Craving,Fried potato sticks with salt #379,French Fries
Sweet,Western,Comfort,Rich chocolate dessert #103,Chocolate Cake
Salty,American,Snack Craving,Fried potato sticks with salt #117,French Fries
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #416",Fried Chicken
Cold,Various,Tired/Hot Day,Coffee served over ice #559,Cold Coffee
Salty,American,Snack Craving,Fried potato sticks with salt #383,French Fries
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #691",Sour Candy
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #508",Tomato Soup
Cold,Various,Happy/Chill,Frozen sweet treat #524,Ice Cream
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #153",Fried Chicken
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #840,Chicken 65
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #946",Fried Chicken
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #951",Lemon Pickle
Warm,Western,Cozy/Winter,Warm milk with chocolate #848,Hot Chocolate
Comfort,Western,Low Mood,"Creamy, cheesy pasta #989",Mac & Cheese
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #361,Chicken 65
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #396",Fried Chicken
Cold,Various,Tired/Hot Day,Coffee served over ice #936,Cold Coffee
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #980",Fried Chicken
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #562",Lemon Pickle
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #412",Lemon Pickle
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #706,Chicken 65
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #509,Gulab Jamun
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #382",Spicy Ramen
Cold,Various,Happy/Chill,Frozen sweet treat #348,Ice Cream
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #877,Chicken 65
Salty,American,Snack Craving,Fried potato sticks with salt #274,French Fries
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #440",Fried Chicken
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #309,Chicken 65
Comfort,Western,Low Mood,"Creamy, cheesy pasta #102",Mac & Cheese
Sweet,Western,Comfort,Rich chocolate dessert #321,Chocolate Cake
Salty,American,Snack Craving,Fried potato sticks with salt #18,French Fries
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #874,Nachos
Warm,Western,Cozy/Winter,Warm milk with chocolate #640,Hot Chocolate
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #929",Lemon Pickle
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #690,Khichdi
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #174",Sour Candy
Cold,Various,Tired/Hot Day,Coffee served over ice #626,Cold Coffee
Crunchy,Indian,Rainy Day,Fried vegetable fritters #53,Pakora
Crunchy,Indian,Rainy Day,Fried vegetable fritters #59,Pakora
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #17,Gulab Jamun
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #769",Fried Chicken
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #257,Khichdi
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #882",Spicy Ramen
Salty,American,Snack Craving,Fried potato sticks with salt #400,French Fries
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #164",Sour Candy
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #53,Gulab Jamun
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #170",Tomato Soup
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #111,Chicken 65
Crunchy,Indian,Rainy Day,Fried vegetable fritters #719,Pakora
Sweet,Western,Comfort,Rich chocolate dessert #909,Chocolate Cake
Comfort,Western,Low Mood,"Creamy, cheesy pasta #128",Mac & Cheese
Cold,Various,Tired/Hot Day,Coffee served over ice #235,Cold Coffee
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #331,Gulab Jamun
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #665,Chicken 65
Cold,Various,Tired/Hot Day,Coffee served over ice #45,Cold Coffee
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #190",Tomato Soup
Warm,Western,Cozy/Winter,Warm milk with chocolate #109,Hot Chocolate
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #36,Nachos
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #766",Spicy Ramen
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #538,Gulab Jamun
Cold,Various,Happy/Chill,Frozen sweet treat #40,Ice Cream
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #613",Lemon Pickle
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #553,Nachos
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #762,Nachos
Cold,Various,Happy/Chill,Frozen sweet treat #88,Ice Cream
Comfort,Western,Low Mood,"Creamy, cheesy pasta #826",Mac & Cheese
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #561,Gulab Jamun
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #835,Gulab Jamun
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #458,Nachos
Cold,Various,Tired/Hot Day,Coffee served over ice #407,Cold Coffee
Cold,Various,Tired/Hot Day,Coffee served over ice #866,Cold Coffee
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #807",Spicy Ramen
Sweet,Western,Comfort,Rich chocolate dessert #440,Chocolate Cake
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #979",Fried Chicken
Cold,Various,Happy/Chill,Frozen sweet treat #584,Ice Cream
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #339",Sour Candy
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #245",Spicy Ramen
Salty,American,Snack Craving,Fried potato sticks with salt #48,French Fries
Crunchy,Indian,Rainy Day,Fried vegetable fritters #4,Pakora
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #290",Tomato Soup
Salty,American,Snack Craving,Fried potato sticks with salt #340,French Fries
Warm,Western,Cozy/Winter,Warm milk with chocolate #534,Hot Chocolate
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #83,Nachos
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #938,Khichdi
Crunchy,Indian,Rainy Day,Fried vegetable fritters #519,Pakora
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #548,Gulab Jamun
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #293,Chicken 65
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #253,Nachos
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #768",Sour Candy
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #850",Spicy Ramen
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #114",Spicy Ramen
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #213",Sour Candy
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #922,Nachos
Cold,Various,Tired/Hot Day,Coffee served over ice #437,Cold Coffee
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #424",Sour Candy
Warm,Western,Cozy/Winter,Warm milk with chocolate #572,Hot Chocolate
Cold,Various,Tired/Hot Day,Coffee served over ice #854,Cold Coffee
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #265",Sour Candy
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #316",Tomato Soup
Cold,Various,Tired/Hot Day,Coffee served over ice #33,Cold Coffee
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #687",Fried Chicken
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #472",Fried Chicken
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #27",Fried Chicken
Cold,Various,Happy/Chill,Frozen sweet treat #662,Ice Cream
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #340,Nachos
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #981,Khichdi
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #322,Chicken 65
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #602",Sour Candy
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #586",Fried Chicken
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #462,Gulab Jamun
Crunchy,Indian,Rainy Day,Fried vegetable fritters #38,Pakora
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #175,Gulab Jamun
Crunchy,Indian,Rainy Day,Fried vegetable fritters #849,Pakora
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #847",Sour Candy
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #589,Gulab Jamun
Warm,Western,Cozy/Winter,Warm milk with chocolate #466,Hot Chocolate
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #610,Nachos
